row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  1028.7  24.5743  52.6989  163.725  311.606  56.9917  170.987  204454  14935.5  32.3109  8.53187  8.71757  18.7752  24.2536  9.59973  17.7451  3117.58  3076.32  7.69433
0  1  1049.38  36.9511  48.7461  186.922  210.878  48.1269  211.971  194372  65.861  32.6066  8.52409  8.84518  20.0112  24.4089  9.50465  18.9965  3156.32  3116.67  1.68485
0  2  2205.49  54.5484  57.8663  131.321  288.428  61.9572  241.949  248030  169.496  47.1675  9.30837  9.21384  21.2229  30.7944  10.2089  22.159  3590.05  3534.16  2.31963
0  3  2302.54  45.7812  62.9241  221.943  284.688  80.7466  222.369  247375  151.851  48.7413  9.4074  9.40133  21.7249  28.1089  10.3385  20.5556  3590.15  3536.32  2.30709
0  4  3134.61  59.5307  80.8772  209.508  252.649  74.8468  332.942  254029  163.098  56.194  9.76412  9.78632  21.5772  27.957  10.3274  23.1399  3637.07  3582.06  2.64318
0  5  3010.54  60.8145  74.9299  145.139  283.591  72.2936  258.979  254452  164.608  55.09  9.98782  9.5777  20.2118  28.3058  10.4621  21.4841  3626  3568.74  2.32287
0  6  2795.81  45.3018  52.9284  166.013  340.285  62.2996  180.915  220423  148.758  53.1809  9.17346  8.94636  19.3619  27.0335  9.60936  18.5231  3337.35  3291.09  2.12572
0  7  3864.88  38.7399  78.8286  168.872  302.227  63.2008  256.153  297341  38851.5  62.4566  9.33266  9.62704  21.31  30.1566  10.379  21.8359  3646.95  3586.77  31.081
0  8  3032.19  51.9793  52.2522  202.197  232.92  65.7181  186  243058  20962.8  55.4383  9.66101  8.76119  20.8376  26.8862  9.83175  19.2169  3350.06  3302.4  11.6812
0  9  4078.64  50.4645  67.7532  157.029  256.737  57.085  220.687  297978  37522.3  64.0769  9.7939  9.51562  21.979  29.0552  10.5955  21.9918  3673.01  3613.7  29.1381
0  10  4115.74  38.226  78.5248  136.801  245.441  66.0166  177.239  246862  189.148  64.4836  9.29618  9.89552  19.564  26.6578  10.1431  18.9564  3530.73  3476.03  2.62235
0  11  4005.72  54.4755  73.0887  112.08  216.224  55.484  232.233  287369  36372.6  63.4897  9.86448  9.12363  20.1287  28.1845  9.94562  21.2743  3586.32  3526.32  28.2998
0  12  3305.03  41.5993  57.9393  92.8174  204.896  59.7277  229.41  206658  109.825  57.6889  8.84137  8.80978  16.7176  23.5073  9.80782  19.4242  3202.14  3159.8  2.13758
0  13  4202.35  64.9611  82.5515  199.828  315.39  81.7325  264.287  281159  36493.8  65.1918  10.2505  9.88853  20.0503  27.1015  10.5445  20.6627  3526.84  3466.71  29.4407
0  14  3221.77  46.1801  57.6581  170.486  245.15  54.4065  188.966  227703  21786.5  56.9886  9.44099  8.9147  18.6123  24.5518  9.81388  17.893  3208.25  3160.48  13.6386
0  15  4136.46  48.8044  49.5589  143.996  166.226  60.4712  156.283  262467  38792.8  64.5118  9.26664  8.59121  19.1551  23.6483  9.51662  17.6637  3349.69  3290.61  35.7569
0  16  4061.56  46.5336  61.565  207.934  264.457  75.944  216.726  245875  32580  63.9017  9.18704  8.95715  19.0176  24.3425  9.80378  18.2302  3268.98  3214.11  27.2083
0  17  4797.94  49.5965  65.7812  213.551  275.473  61.8656  215.263  235263  242.471  69.4833  9.70254  9.23697  20.4071  26.4597  9.85758  19.2453  3421.05  3359.85  3.03668
0  18  4413.77  49.2554  77.48  167.99  212.848  68.3722  244.444  252312  27361.1  66.7643  9.50802  9.58224  18.9683  25.7645  9.63898  19.451  3358.02  3305.91  18.641
0  19  5059.17  60.4932  68.0741  123.964  253.958  58.9191  245.869  243782  216.036  71.3256  9.95064  9.35561  18.4965  26.6956  9.58022  20.6366  3498.49  3438.65  2.86852
