row  column  C_K  N_K  O_K  Na_K  Mg_K  Fe_L  Cu_L  Scatter_Peak000  Scatter_Compton000  s(C_K)  s(N_K)  s(O_K)  s(Na_K)  s(Mg_K)  s(Fe_L)  s(Cu_L)  s(Scatter_Peak000)  s(Scatter_Compton000)  chisq
0  0  1528.34  37.2278  324.251  9165.84  626.117  60.0665  334.669  127968  39431  39.1996  8.39882  18.2236  98.9829  32.7999  9.98229  28.5325  2779.85  2763.54  1.55735
0  1  1612.46  40.2173  351.312  9113.51  647.29  59.9844  379.935  108331  57825.8  40.3714  8.46835  19.1965  98.6531  32.7763  10.0187  29.1614  2766.41  2756.55  1.46772
0  2  1629.66  31.088  368.421  9355.07  693.908  65.5283  354.343  104225  60081.8  40.5182  8.3922  19.583  99.9958  34.7837  10.6897  28.7884  2761.91  2753.21  1.38132
0  3  1554.7  35.2355  258.785  7489.61  609.284  59.6513  374.844  104036  60654  39.6162  8.38519  16.3684  89.5151  31.5501  10.0664  27.763  2751.84  2743.16  1.64842
0  4  1915.55  52.9481  271.592  7896.52  521.655  64.5761  328.186  102408  64824.2  43.933  8.71379  16.7443  92.3512  31.977  10.2149  28.0086  2778.07  2770.64  1.41472
0  5  2047.98  44.4748  307.615  7985.04  488.559  74.3549  431.738  115901  62144.4  45.409  8.67484  17.938  92.7656  31.3507  10.9035  29.3902  2850.48  2840.45  1.70286
0  6  1887.29  41.328  220.204  7154.92  489.205  58.8105  363.249  110024  63344.6  43.6464  8.47836  15.3744  87.576  30.655  10.0647  27.243  2820.35  2810.95  1.48632
0  7  2053.27  36.8251  271.229  7570.95  417.507  63.9856  270.532  120163  57986.9  45.4371  8.30684  16.6445  90.7604  31.0386  9.88319  27.2021  2862.35  2850.87  1.40952
0  8  1853.59  50.4547  307.874  9116.64  501.019  82.9144  319.004  107607  64606.3  43.2505  8.94153  17.6858  98.739  31.3913  10.9557  28.0095  2821.14  2812.76  1.67522
0  9  2027.26  43.202  370.269  7433.24  382.644  72.0492  357.182  115161  60991.4  45.157  8.50614  19.34  90.0182  30.6289  10.0992  29.0874  2835.46  2825  1.41222
0  10  1730.28  56.3074  358.238  5838.12  368.836  54.2866  415.676  98900.7  68640.1  41.8143  8.93162  19.0601  79.7686  28.166  9.67952  28.5338  2767.91  2761.56  1.44359
